Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,FPTS
Ildemaro Vargas 2B | ARI ,216,22,55,41,10,1,3,27,13,22,3,2,0.255,0.3,0.352,171
David Peralta OF | SD,210,27,55,38,12,0,5,28,14,42,2,0,0.262,0.308,0.391,171
Kyle Stowers OF | MIA ,207,26,52,30,11,2,9,32,21,70,2,1,0.251,0.326,0.454,169
Jon Berti 3B | CHC,185,25,51,41,6,1,3,14,13,38,11,3,0.276,0.328,0.368,168
Kevin Kiermaier OF | LAD,210,30,50,33,10,3,4,21,14,57,7,1,0.238,0.289,0.371,168
Gary Sanchez C | MIL ,192,25,42,24,6,0,12,36,17,57,0,0,0.219,0.296,0.438,166
Pedro Pages C | STL ,282,28,66,47,9,1,9,36,16,82,1,0,0.234,0.278,0.369,165
Tyler Fitzgerald 2B | SF,188,25,47,29,10,1,7,18,14,63,9,3,0.25,0.307,0.425,156
Hye Seong Kim 2B | LAD ,161,19,45,35,6,1,3,17,7,52,13,1,0.28,0.314,0.385,153
Travis Jankowski OF | NYM,161,20,38,31,6,0,1,15,17,33,11,1,0.236,0.315,0.292,153
"Casey Schmitt 2B,3B | SF ",224,24,51,32,11,0,8,29,15,58,1,0,0.228,0.286,0.384,153
"Tim Tawa 1B,2B,OF | ARI ",199,29,40,25,8,0,7,18,20,64,8,2,0.201,0.274,0.347,150
Miguel Amaya C | CHC,185,21,44,28,9,1,6,30,13,41,0,0,0.238,0.302,0.395,150
Adam Duvall OF | ATL,208,25,45,22,11,1,11,29,14,70,1,0,0.216,0.276,0.438,150
"Javier Sanoja 2B,3B,OF | MIA",174,22,42,25,12,2,3,20,10,22,3,2,0.241,0.283,0.385,149
Nicky Lopez 3B | COL ,216,25,50,40,7,2,1,16,22,37,4,3,0.232,0.311,0.296,146
Otto Kemp 3B | PHI ,197,26,46,27,11,0,8,28,12,67,2,2,0.234,0.298,0.411,143
Dylan Carlson OF | CHC ,224,21,47,33,8,1,5,24,23,59,3,1,0.21,0.295,0.321,141
"Christian Koss 2B,SS | SF",174,25,46,34,9,0,3,23,9,45,4,1,0.264,0.308,0.368,141
Luis Matos OF | SF,183,21,42,27,9,1,5,20,12,28,2,0,0.23,0.279,0.372,141
Joey Bart C | PIT,208,23,52,37,9,0,6,27,22,63,0,0,0.25,0.338,0.38,137
Jose Trevino C | CIN,216,24,48,33,10,0,5,22,14,34,0,0,0.222,0.27,0.338,137
Ji-Hwan Bae OF | NYM ,143,23,31,23,6,1,1,13,14,42,11,4,0.217,0.289,0.294,133
James McCann C | ARI,181,23,43,27,10,0,6,25,10,49,1,0,0.238,0.289,0.392,133
Nick Senzel 3B | LAD ,179,25,39,25,7,0,7,20,18,45,2,2,0.218,0.291,0.374,132
Brady House 3B | WAS ,261,26,61,46,11,0,4,29,8,78,5,3,0.234,0.252,0.322,132
Jose Miranda 3B | SD ,193,19,50,34,11,1,4,22,9,34,1,1,0.259,0.298,0.389,130
Dane Myers OF | CIN ,156,18,38,29,6,0,3,20,11,44,8,2,0.244,0.3,0.34,130
Luis Campusano DH | SD,154,21,38,26,7,0,5,23,11,24,0,0,0.247,0.299,0.39,129
Yasmani Grandal C | PIT,193,20,45,31,8,0,6,20,20,44,0,0,0.233,0.307,0.368,122
Nelson Velazquez DH | STL ,122,22,26,13,5,0,8,20,11,37,1,0,0.213,0.287,0.451,117
Jake Cave OF | COL ,169,20,40,26,8,2,4,19,11,51,3,1,0.237,0.284,0.379,113
Christian Encarnacion-Strand 1B | CIN ,156,18,36,23,6,0,7,24,7,45,1,1,0.231,0.275,0.404,112
Enmanuel Valdez 1B | PIT,144,16,33,19,8,1,5,20,12,35,2,1,0.229,0.287,0.403,112
Yohel Pozo C | STL ,160,16,37,24,8,0,5,19,7,22,0,0,0.231,0.262,0.375,111
Garrett Hampson OF | CIN ,170,22,40,29,9,1,1,13,16,52,5,1,0.235,0.303,0.318,109
Joey Wiemer OF | WAS,149,19,31,19,7,0,5,18,13,49,4,2,0.208,0.279,0.356,108
Yan Gomes C | CHC,158,17,39,27,7,1,4,23,8,39,0,0,0.247,0.291,0.38,108
Robert Hassell OF | WAS,197,22,44,32,9,0,3,18,8,62,4,0,0.223,0.257,0.315,105
Elehuris Montero 1B | COL ,169,21,38,24,8,1,5,22,12,56,0,0,0.225,0.281,0.373,103
Garrett Cooper 1B | ATL ,176,16,43,28,8,1,6,24,13,56,0,0,0.244,0.298,0.403,103
"Ryan Ritter 2B,SS | COL",187,22,45,32,9,3,1,18,10,61,3,1,0.241,0.296,0.337,103
Akil Baddoo OF | MIL ,134,16,27,17,5,1,4,13,17,40,5,1,0.202,0.289,0.343,103
Christian Bethancourt C | CHC ,151,22,33,20,8,0,5,18,6,42,1,0,0.218,0.247,0.371,102
Warming Bernabel 1B | WAS ,139,15,35,22,8,1,4,14,7,25,1,1,0.252,0.288,0.41,98
Garrett Mitchell OF | MIL ,110,17,27,15,6,2,4,10,13,41,5,2,0.245,0.328,0.446,97
Reese McGuire C | MIL ,153,14,36,26,6,0,4,19,9,40,2,0,0.235,0.279,0.353,97
Eli White OF | ATL,103,18,24,16,3,1,4,13,5,30,4,1,0.233,0.282,0.398,97
Nasim Nunez SS | WAS,72,14,17,13,2,0,2,7,10,18,8,2,0.236,0.329,0.347,94
Henry Davis C | PIT,194,20,35,23,7,0,5,17,19,63,2,2,0.18,0.262,0.294,94
Vidal Brujan 3B | NYM ,137,20,30,21,7,1,1,10,12,32,3,3,0.219,0.291,0.307,91
Yuli Gurriel DH | SD,129,14,30,21,7,1,1,12,13,22,2,0,0.233,0.299,0.326,90
Jace Peterson SS | ARI,132,12,27,21,3,1,2,13,17,36,5,1,0.204,0.298,0.288,90
Kris Bryant DH | COL ,157,16,35,25,6,0,4,16,15,43,0,0,0.223,0.311,0.338,90
Sam Hilliard OF | COL,87,16,20,10,4,1,5,12,10,37,4,1,0.23,0.306,0.471,86
Troy Johnston OF | COL,112,12,31,24,2,1,4,13,8,26,2,2,0.277,0.331,0.42,85
Mike Siani OF | LAD,107,16,24,20,2,1,1,7,8,33,7,1,0.224,0.284,0.29,85
Riley Adams C | WAS ,174,16,38,23,9,1,5,18,13,63,1,0,0.218,0.283,0.368,85
Owen Miller 2B | CHC ,111,10,28,20,6,0,2,10,6,24,5,1,0.252,0.294,0.36,84
Nick Martini DH | COL ,107,14,24,15,4,1,4,15,8,24,0,1,0.224,0.288,0.393,83
"Thomas Saggese 2B,SS | STL ",162,15,40,29,9,0,2,14,9,48,2,0,0.247,0.289,0.34,83
DJ Stewart OF | PIT ,106,12,22,13,4,0,5,15,15,35,1,0,0.207,0.325,0.387,81
Luis Torrens C | NYM,136,12,31,20,8,0,3,16,10,31,0,0,0.228,0.29,0.353,81
Stone Garrett DH | WAS ,80,14,22,13,6,0,3,14,9,27,1,0,0.275,0.348,0.463,79
Dalton Rushing C | LAD,142,15,29,20,5,0,4,24,10,58,0,0,0.204,0.258,0.324,76
Brett Wisely 2B | ATL,142,13,30,21,7,0,2,16,10,40,2,2,0.211,0.266,0.303,76
Jose Tena 3B | WAS,115,12,29,20,7,1,1,11,8,30,3,1,0.252,0.301,0.356,76
Ben Rortvedt C | NYM,157,14,30,22,6,0,2,15,19,43,0,0,0.191,0.286,0.268,75
Drew Gilbert OF | SF ,100,12,19,10,5,1,3,13,7,20,1,1,0.19,0.248,0.35,74
Martin Maldonado C | SD,215,18,38,23,7,0,8,20,15,82,0,0,0.177,0.234,0.321,73
Pablo Reyes OF | SD,86,12,22,17,4,0,1,9,6,17,3,1,0.256,0.301,0.337,72
Eric Haase C | SF ,137,14,30,22,4,0,4,16,8,47,1,0,0.219,0.267,0.336,69
Adrian Del Castillo DH | ARI ,100,10,27,17,6,0,4,18,8,38,0,0,0.27,0.321,0.45,69
Moises Ballesteros DH | CHC ,57,12,17,12,2,1,2,11,9,12,0,0,0.298,0.394,0.474,68
Matt Carpenter DH | STL,108,11,22,13,6,0,3,15,19,39,0,1,0.204,0.323,0.343,67
Kyle Karros 3B | COL ,137,20,31,26,4,0,1,9,15,41,0,0,0.226,0.308,0.277,67
Daz Cameron OF | MIL,106,14,21,15,3,0,3,9,7,32,3,0,0.198,0.246,0.311,67
Joey Wendle 2B | ATL ,111,12,24,16,6,1,1,7,5,25,3,0,0.216,0.254,0.315,66
Braxton Fulford C | COL,108,11,23,15,5,2,1,16,7,36,1,0,0.213,0.267,0.324,66
Trey Lipscomb 3B | WAS ,97,10,20,18,2,0,0,5,8,20,6,1,0.206,0.274,0.227,65
Brandon Lockridge OF | MIL ,73,10,16,12,4,0,0,6,4,20,6,0,0.219,0.256,0.274,65
Liover Peguero SS | PHI ,96,10,22,16,2,0,4,12,6,32,3,1,0.229,0.282,0.375,65
Will Wagner 3B | SD,106,12,27,20,6,0,1,9,10,22,0,0,0.255,0.325,0.34,64
